Timestamp: 22:31:08.881 - Frame 202: x=-0.01, y=0.01, z=0.71
Timestamp: 22:31:08.940 - Frame 203: x=-0.01, y=0.00, z=0.71
Timestamp: 22:31:08.959 - Frame 204: x=-0.01, y=0.00, z=0.71
Timestamp: 22:31:08.974 - Frame 205: x=-0.01, y=0.00, z=0.71
Timestamp: 22:31:09.036 - Frame 206: x=-0.01, y=0.00, z=0.71
Timestamp: 22:31:09.052 - Frame 207: x=-0.01, y=0.00, z=0.71
Timestamp: 22:31:09.067 - Frame 208: x=-0.01, y=0.00, z=0.71
Timestamp: 22:31:09.119 - Frame 209: x=-0.02, y=0.00, z=0.71
Timestamp: 22:31:09.143 - Frame 210: x=-0.02, y=0.00, z=0.71
Timestamp: 22:31:09.211 - Frame 211: x=-0.02, y=0.00, z=0.71
Timestamp: 22:31:09.239 - Frame 212: x=-0.02, y=0.00, z=0.71
Timestamp: 22:31:09.253 - Frame 213: x=-0.02, y=0.00, z=0.71
Timestamp: 22:31:09.675 - Frame 214: x=0.02, y=-0.00, z=0.71
Timestamp: 22:31:09.697 - Frame 215: x=0.02, y=-0.00, z=0.71
Timestamp: 22:31:09.713 - Frame 216: x=0.02, y=-0.00, z=0.71
Timestamp: 22:31:09.771 - Frame 217: x=0.02, y=-0.00, z=0.71
Timestamp: 22:31:09.791 - Frame 218: x=0.02, y=-0.00, z=0.71
Timestamp: 22:31:09.804 - Frame 219: x=0.02, y=-0.00, z=0.71
Timestamp: 22:31:09.851 - Frame 220: x=0.02, y=-0.00, z=0.71
Timestamp: 22:31:09.868 - Frame 221: x=0.02, y=-0.00, z=0.71
Timestamp: 22:31:09.948 - Frame 222: x=0.01, y=-0.00, z=0.71
Timestamp: 22:31:09.960 - Frame 223: x=0.01, y=-0.00, z=0.71
Timestamp: 22:31:09.977 - Frame 224: x=0.01, y=-0.00, z=0.71
Timestamp: 22:31:10.045 - Frame 225: x=0.01, y=-0.00, z=0.71
Timestamp: 22:31:10.068 - Frame 226: x=0.01, y=-0.00, z=0.71
Timestamp: 22:31:10.085 - Frame 227: x=0.01, y=-0.00, z=0.71
Timestamp: 22:31:10.141 - Frame 228: x=0.01, y=-0.00, z=0.71
Timestamp: 22:31:10.160 - Frame 229: x=0.01, y=-0.00, z=0.71
Timestamp: 22:31:10.176 - Frame 230: x=0.01, y=-0.00, z=0.71
Timestamp: 22:31:10.221 - Frame 231: x=0.01, y=-0.00, z=0.71
Timestamp: 22:31:10.236 - Frame 232: x=0.01, y=-0.00, z=0.71
Timestamp: 22:31:10.317 - Frame 233: x=0.01, y=-0.00, z=0.71
Timestamp: 22:31:10.330 - Frame 234: x=0.01, y=-0.00, z=0.71
Timestamp: 22:31:10.347 - Frame 235: x=0.01, y=-0.00, z=0.71
Timestamp: 22:31:10.412 - Frame 236: x=0.01, y=-0.00, z=0.70
Timestamp: 22:31:10.425 - Frame 237: x=0.01, y=-0.00, z=0.70
Timestamp: 22:31:10.439 - Frame 238: x=0.01, y=-0.00, z=0.70
Timestamp: 22:31:10.511 - Frame 239: x=0.01, y=0.00, z=0.70
Timestamp: 22:31:10.532 - Frame 240: x=0.01, y=0.00, z=0.70
Timestamp: 22:31:10.587 - Frame 241: x=0.01, y=0.00, z=0.70
Timestamp: 22:31:10.611 - Frame 242: x=0.01, y=0.00, z=0.70
Timestamp: 22:31:10.626 - Frame 243: x=0.01, y=0.00, z=0.70
Timestamp: 22:31:10.685 - Frame 244: x=0.01, y=0.00, z=0.70
